DFD_001	DFD_005	DFD_009	DFD_016	DFD_019	DFD_023	DFD_026	DFD_027	DFD_030	DFD_043	DFD_045	DFD_049	DFD_050	DFD_052	DFD_057	DFD_062	DFD_080	DFD_082	DFD_085	DFD_087	Unassigned
PSME_00175	112	0	17	0	13	6	0	0	0	56	3	0	0	4	0	42	4	0	0	12	9
PSME_00176	102	95	968	22	276	98	0	47	356	278	761	4765	47	394	744	278	156	274	2	8	288
PSME_00177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00179	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00181	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	8	0	0	0	0
PSME_00182	46	83	66	45	99	3	0	0	0	91	24	265	49	30	43	29	17	0	0	3	30
PSME_00183	1874	687	1369	260	1480	118	0	4	57	3325	36	1027	170	338	163	12	450	544	27	348	398
PSME_00184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00188	133	39	123	9	88	163	6	1	248	228	8	250	155	8	11	15	2	253	32	479	60
PSME_00189	40	45	2	26	1	2	0	0	0	76	8	46	0	11	13	1	17	0	0	2	2
PSME_00190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00191	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00192	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00195	1297	1154	1882	389	901	324	0	94	1854	3276	813	4143	194	943	434	223	628	464	78	501	696
PSME_00196	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PSME_00197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00199	10	57	77	6	4	20	0	4	0	112	0	65	61	34	0	8	16	0	13	53	17
PSME_00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00201	11048	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	7	75	0	0	265
PSME_00202	72	70	453	25	145	8	0	13	0	720	13	139	0	34	12	71	8	0	23	6	71
PSME_00203	28	18	20	2	49	5	0	1	0	44	4	90	3	22	15	5	27	0	2	11	11
PSME_00204	20	27	18	3	0	11	0	0	0	44	8	72	0	17	8	2	10	35	1	9	6
PSME_00205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00206	752	170	368	72	62	42	0	23	1076	676	106	760	103	181	111	100	25	178	17	69	178
PSME_00207	16	4	58	7	145	44	0	0	0	60	1	84	0	1	0	9	20	102	6	19	19
PSME_00208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00209	1917	265	525	55	367	129	55	73	33	782	248	256	120	132	15	188	8	69	11	92	181
PSME_00210	18217	13684	26914	4046	8431	5265	1195	2414	11301	34039	1990	31628	6128	2455	3109	4527	7445	5608	1527	8958	6561
PSME_00211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
