"","DFD_001","DFD_005","DFD_009","DFD_016","DFD_019","DFD_023","DFD_026","DFD_027","DFD_030","DFD_043","DFD_045","DFD_049","DFD_050","DFD_052","DFD_057","DFD_062","DFD_080","DFD_082","DFD_085","DFD_087"
"PSME_37425",7.16810109454775,7.18552362760542,7.95284640380755,7.02612328102349,7.39079462700039,8.98080888302573,8.31701200896035,7.93606430855111,7.04989096307554,7.21201060532612,6.7364177060058,7.13566383382624,9.4659171639297,7.71771031852863,6.26335861521837,7.34640721636761,6.54685899774623,9.26855549087536,8.76924442454664,9.00403814989908
"PSME_51302",1.19319911190077,2.56535193280096,6.68447712318373,1.79242597339577,5.47848863667153,8.64342195893886,4.63505300530493,5.33084179158333,4.94152066939572,4.10308334841008,2.01447728042155,2.78618998434847,8.7350791884564,4.10495568325163,2.70915165007092,5.19556474417984,3.73236014530266,9.1897567034429,8.20195179210996,7.90066784507256
"PSME_19321",6.15056146260702,6.3554004573424,7.77025499344353,6.28829275673207,7.01792359504009,9.8590774576834,6.84051654249842,8.19512462361958,7.38612430064781,6.84337321310051,5.43131511995806,5.72942500366895,9.94645013254077,6.17256242978698,6.64406256987965,7.0522391492811,6.20845239299306,9.65507681445899,8.95312206720624,9.41844117809913
"PSME_32399",6.12962346154698,5.83949981521126,7.2021654650776,6.35142188869782,6.16682837206013,8.28743693573857,8.42503120927686,8.417263731029,6.25465761319377,6.36628811350611,4.99198361156376,4.83125757369926,7.28935937799879,6.5407425920459,6.01705116773636,6.23603676626029,5.26188604397505,7.04956097341988,8.20120267052909,8.22114977713666
"PSME_12584",3.53647357991329,3.57971484017128,5.41905665856539,3.4993207636719,3.84865301526003,8.42463085378229,5.60438857783412,6.32988523157765,5.33235025775396,5.5826991032421,3.14568413321108,3.34921768628418,8.72348509093484,3.42692881047007,3.44477518473233,4.23455171118032,3.94610420625992,8.00344594888905,7.01540732279455,7.52690104155784
"PSME_47043",4.5703565038015,5.03207097631704,7.19750845437978,4.15287712754188,6.26625742512604,8.38882403316769,7.23653372193612,7.38607769027629,5.69477548681508,6.10770669898155,5.14947253148561,3.61994471599457,10.4877840138937,4.44956041583772,4.41050674768481,5.70074639200896,5.40758439373712,8.75941705549205,7.83656493193948,8.92282658243037
"PSME_07534",6.33418494205648,6.60749790129,5.70022727637804,5.81797532054941,6.63281524332195,1.91581333203838,5.36500407061904,4.72468391721115,7.92701622202709,7.47445581211178,8.25935980580709,6.73835208124187,4.49441318482694,4.42334584729438,8.15278521329114,8.10063376530736,6.70814398548388,5.40471945951949,4.04984086756174,4.98429854009593
"PSME_45349",4.61418146130138,6.37643591346196,7.25810086153416,4.54416391085033,6.8801575429395,8.79485034609337,7.56970150409014,7.29317536864596,6.97366316478007,5.18786636630971,4.87861913269342,4.6691323053981,8.3014980706383,5.91476817541871,5.48441888291984,6.49231604204291,5.93973067017548,7.94435365643398,8.81059736987172,9.08474627141207
"PSME_28345",1.06271414235379,2.61243109654,-0.436659871088236,2.43964240493958,1.47886630021342,-2.46095111741155,-4.22825974179865,1.64230433211735,6.00118000834314,4.34162785507395,9.46637340612672,3.25454932503069,-4.22825974179865,0.555562537973389,3.17910817090027,4.08771485102616,1.00594367036792,-3.37685992211453,-4.22825974179865,-2.00331644415718
"PSME_30477",3.71703101540589,3.04018787376759,5.17306537220165,2.21961279494661,3.82743768385611,8.15455085017817,6.34659387184459,6.26229244407644,3.01218912627013,1.97822606415131,4.47270124900198,5.33951149024632,7.87452360459337,1.93749039231582,3.33995761907715,4.36781451294773,2.71990939531678,8.67726781933554,6.99480560378221,7.39670623196751
"PSME_47115",6.37539537737633,5.86219888780319,8.29586560346172,7.13777485996264,7.53865558507762,9.85967512885814,8.51382710592031,8.59720000289169,5.59758196199688,5.80482397743996,5.50554387332648,6.04032874113643,6.8313003612522,6.35073897716528,5.25285777095198,6.09271140365675,5.86703918938052,8.8857186148155,8.82136252616593,8.52413338139352
"PSME_34521",5.28351141383051,5.97344778052599,4.19609951515588,5.14028592641159,3.96978317657314,3.26769387980765,4.66356141530308,4.38665240607279,7.18497369973572,5.79795292605657,6.93974342991635,6.7545499780312,3.33443397740576,4.90282252517873,6.37633134369768,6.35945973559484,6.45982460556167,3.11025507303204,2.91524833536443,2.74138546016612
"PSME_18244",4.22485580025627,5.0924713596305,6.03763659097664,5.60955248040903,5.68572986225626,8.1917355070687,6.31099360839514,5.99020340787231,3.70442317927423,4.80482997558919,3.89970258861347,5.24171665228516,6.90046067843332,5.6891348960595,6.00510259645533,5.28033360875194,5.48339156775161,8.2107250705342,8.1462172683179,7.8174236632079
"PSME_14226",1.77181916424744,-0.433346688930056,1.58288572192259,-0.621018786689492,1.16043629078152,5.6449228824241,5.29383995301854,6.05821187959399,3.11722433560574,-0.479203076560993,-1.70605951299843,-0.981561673227815,3.76309771690036,1.7645170806733,0.727512285956361,2.42223553608038,1.3599710535109,6.5589364352378,5.32013239890099,4.21584588366264
"PSME_49874",0.167932474856515,2.69129454002598,4.5003121704864,2.27148987469544,4.54175409136096,7.5019171069647,5.09886800624225,3.76062696764185,4.25059172103516,-0.0247635458883532,0.593517187478222,1.44962167082596,7.70006107841071,2.81090776099844,2.75879099981632,4.58809150291018,3.16832944973873,8.35459262246229,7.57263280758811,7.29800230216258
"PSME_15491",3.08511096319992,3.9578797497626,4.4475972200726,4.25948321691862,4.38359198493797,8.30821454013803,6.15909823199389,6.20344053672509,6.11432979797779,4.31299603321562,3.32036629484748,3.85104597463032,7.7551268412667,4.61851638224939,4.68325817047385,4.9254494800606,4.44497847196901,8.48609626077408,7.32144684085488,7.62378195750775
"PSME_34396",6.24584553606292,7.03382249639591,6.72200091075927,6.64854355473512,6.17367446370602,9.78031550126294,8.6357476559438,8.80940421361393,8.55767907512545,6.48967527219364,5.85855020620789,5.88900720245814,10.2346398783305,6.74293119190031,6.53669847974163,7.81118946214925,6.73108134093213,10.2558909566559,9.79247108457114,10.2086184270873
"PSME_25848",5.41085114174452,5.99969278597303,5.56599924599755,5.87148389963892,5.60465525336899,9.12665449209138,7.527671713975,7.61331080593621,6.46521889081367,5.43285696421713,6.14064412791755,6.25712129320971,8.62330482618551,6.20984834226618,6.38426044353754,6.01709498431186,5.71118902467664,8.72881009356281,8.05130852820567,8.37078690380201
"PSME_49754",4.29492086147866,4.58536889293039,4.97541490993158,4.05266248563085,4.38177391132468,6.75852740343224,6.07669943101216,6.43594571721209,4.80789315860453,4.44141440052031,4.70046281612073,4.53961677346938,6.94757565434238,4.94027990648704,4.37910835556841,5.24762299889894,4.74156077593067,7.15713548594508,6.71519745190206,6.7617350949452
