target_id,sample19_TCS_C,sample26_TC_T,sample27_TCS_T,sample45_TC_C,sample52_TCS_T,sample62_TCS_C,sample87_TCS_T
TRINITY_DN5669_c0_g1_i8,0,0,0,0,0,5.19118e-06,0
TRINITY_DN5669_c0_g1_i9,0,0,3,6,0,0,0
TRINITY_DN5673_c0_g1_i1,0,0,23.7176,0,0,30.1168,0
TRINITY_DN5673_c0_g1_i2,0,0,0,0,0,19.6953,0
TRINITY_DN5673_c0_g1_i3,1,245,101.282,4679,0,1605.19,1
TRINITY_DN5692_c0_g1_i1,0.999978,38.9996,54.9996,1416,0,1782,0
TRINITY_DN5692_c0_g2_i1,2.16E-05,0.000438875,0.000371911,0.000424181,0,9.51223e-06,0
TRINITY_DN5692_c1_g1_i1,0,16,25,136,0,246.992,0
TRINITY_DN5692_c1_g2_i1,0,0,0,0,0,4.00798,0
TRINITY_DN5692_c2_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5692_c2_g2_i1,0,56,0,0,0,6,0
TRINITY_DN5692_c3_g1_i1,0,50,52,1157.1,0,186.609,0
TRINITY_DN5692_c3_g1_i2,0,0,0,4.90106,0,16.9444,0
TRINITY_DN5692_c3_g1_i3,0,0,0,8.78434e-07,0,0,0
TRINITY_DN5692_c3_g1_i4,0,0,0,0,0,112.447,0
TRINITY_DN5612_c0_g1_i1,0,0,0,0.032234,0,28.5371,0
TRINITY_DN5612_c0_g1_i2,0,0.0935041,0,0.140772,0,218.167,0
TRINITY_DN5612_c0_g1_i3,0,1.67E-08,0,247.104,0,37.0886,0
TRINITY_DN5612_c0_g1_i4,0,0,0,0,0,35.1134,0
TRINITY_DN5612_c0_g1_i5,0,0,0,48.0761,0,4.88413,0
TRINITY_DN5612_c0_g1_i6,0,0,0,0.960327,0,56.5846,0
TRINITY_DN5612_c0_g1_i7,0,0,0,0,0,5.90385,0
TRINITY_DN5612_c0_g1_i8,0,6.98048,35.762,40.2019,0,142.791,0
TRINITY_DN5612_c0_g1_i9,0,73.926,0,887.032,0,1.81516,0
