DFD_001	DFD_005	DFD_009	DFD_016	DFD_019	DFD_023	DFD_026	DFD_027	DFD_030	DFD_043	DFD_045	DFD_049	DFD_050	DFD_052	DFD_057	DFD_062	DFD_080	DFD_082	DFD_085	DFD_087	Unassigned
mRNA_482	0	0	0	0	0	0	88	15	0	0	0	0	0	0	0	100	0	0	0	0	4
mRNA_230	0	0	0	0	0	0	29	59	469	0	4	0	0	0	0	826	0	0	0	0	51
mRNA_406	0	0	0	0	0	1	37	43	0	0	8	0	0	0	0	666	0	0	0	0	31
mRNA_815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
mRNA_488	0	0	0	0	0	0	101	57	0	0	2	0	0	0	0	697	0	0	0	0	26
mRNA_396	0	0	0	0	0	0	9	31	0	0	8	0	0	0	0	663	0	0	0	0	34
mRNA_593	0	0	0	0	0	0	14	61	0	0	45	0	0	0	0	1314	0	0	0	1	66
mRNA_875	0	0	0	0	0	0	29	62	0	0	24	4	0	0	0	400	0	0	0	0	18
mRNA_953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	2
mRNA_500	0	0	0	0	0	0	36	15	0	0	0	0	0	0	0	186	0	0	0	0	9
mRNA_415	0	0	0	0	0	0	8	11	0	0	0	0	0	0	0	111	0	0	0	0	6
mRNA_961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	2
mRNA_212	0	0	0	0	0	0	0	8	0	0	10	0	0	0	0	116	0	0	0	0	2
mRNA_926	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	92	0	0	0	0	2
mRNA_189	0	0	0	0	0	0	0	28	0	0	0	1	0	0	0	201	0	0	0	0	11
mRNA_935	0	0	0	0	0	0	0	22	0	0	2	0	0	0	0	208	0	0	0	0	9
mRNA_125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_310	0	0	0	0	0	0	9	4	0	0	3	0	0	0	0	119	0	0	0	0	2
mRNA_493	0	0	0	0	0	0	285	74	0	0	70	0	0	0	0	3479	0	0	0	0	152
mRNA_294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
mRNA_167	0	0	0	0	0	0	29	11	0	0	4	0	0	0	0	212	0	0	0	0	9
mRNA_717	0	2	0	0	0	0	136	147	552	0	43	0	0	0	0	3035	0	0	0	0	154
mRNA_699	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	87	0	0	0	0	2
mRNA_347	0	0	0	0	0	0	13	17	0	0	0	0	0	0	0	72	0	0	0	0	1
mRNA_538	0	0	0	0	0	0	22	68	0	0	1	0	0	0	0	439	0	0	0	0	21
mRNA_236	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	182	0	0	0	0	7
mRNA_908	0	0	0	0	0	0	49	48	0	0	0	0	0	0	0	325	0	0	0	0	19
mRNA_589	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	16	0	0	0	0	0
mRNA_141	0	0	0	0	0	0	15	43	0	0	37	0	0	0	0	594	0	0	0	0	37
mRNA_688	0	0	0	0	0	0	1	16	0	0	10	0	0	0	0	812	0	0	0	1	44
mRNA_198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_669	0	1	0	0	0	1	163	408	0	0	156	0	0	0	0	3918	0	0	0	0	211
mRNA_511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_567	0	0	0	0	0	0	0	7	0	0	5	0	0	0	0	138	0	0	0	0	7
mRNA_428	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_526	0	0	0	0	0	0	17	51	0	0	8	0	0	0	0	691	0	0	0	0	27
mRNA_434	0	0	0	0	43	0	16	54	0	0	7	0	0	0	0	850	0	0	0	0	41
mRNA_247	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	47	0	0	0	0	4
mRNA_186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_19	0	0	0	0	0	0	0	10	0	0	7	0	0	0	0	64	0	0	0	0	2
mRNA_261	0	0	0	0	0	0	3	55	0	0	6	2	0	0	0	279	0	0	0	0	11
mRNA_889	0	0	0	0	0	0	39	17	0	0	1	0	0	0	0	211	0	0	0	0	9
mRNA_581	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	136	0	0	0	0	6
mRNA_165	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	39	0	0	0	0	4
mRNA_473	0	0	0	0	0	0	37	52	0	0	2	0	0	0	0	481	0	0	0	0	21
mRNA_131	0	0	0	0	0	0	120	239	443	0	94	1	0	0	0	1831	0	0	0	0	107
mRNA_457	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	52	0	0	0	0	1
mRNA_353	0	0	0	0	0	0	91	138	0	0	6	1	0	0	0	668	0	0	0	0	27
mRNA_97	0	0	0	0	0	0	0	40	0	0	5	0	0	1	0	235	0	0	0	0	6
