"","logFC","logCPM","LR","PValue","FDR"
"PSME_41191",-6.26889117220755,5.3288833248091,19.1644047170842,1.19929021499645e-05,0.00294395901195685
"PSME_49083",-13.1147662703219,4.1945024436943,19.1493337462829,1.20879689490057e-05,0.00294395901195685
"PSME_47783",-13.201856455564,5.31082155050133,19.1175431303607,1.22909914703141e-05,0.0029640569430077
"PSME_29588",-6.83763671558547,4.85509734550013,19.0082041598297,1.30157622027883e-05,0.00310836620062318
"PSME_21395",-13.2442110590778,4.15256714392131,18.9679698876099,1.32931344828002e-05,0.00311051092529964
"PSME_09667",-6.02630275797757,5.06848042602752,18.961793457634,1.33362368359841e-05,0.00311051092529964
"PSME_35633",-4.90006767000778,5.54643071950786,18.9279593989523,1.35748510978681e-05,0.00311051092529964
"PSME_15976",-4.65422246122635,5.97331494417782,18.9159741332578,1.36604015760931e-05,0.00311051092529964
"PSME_31749",-5.49494420354217,4.7844923280559,18.9090516389637,1.37100606141553e-05,0.00311051092529964
"PSME_40722",-12.8874646389851,4.75360494837324,18.8988649112707,1.37834657637881e-05,0.00311051092529964
"PSME_28236",-13.2234751195629,4.81048665828601,18.8400959342758,1.4214726605303e-05,0.0031786713185204
"PSME_09822",-13.3894074924747,4.08349640977114,18.7184526244254,1.51509207741936e-05,0.00335749864147399
"PSME_20665",-3.83209690141253,6.03140737123983,18.6681961321306,1.55555599259797e-05,0.0034163898487433
"PSME_50142",-12.8163916252531,4.37440231663068,18.6387608306371,1.57975801320505e-05,0.00343883961139982
"PSME_39367",-12.770295303588,4.95506720838087,18.5727031773148,1.63545715319142e-05,0.00352885746089497
"PSME_48863",-17.9972816664913,3.55117749079668,18.5246276953503,1.67723033250541e-05,0.00358752275817115
"PSME_49443",-15.1623953722645,4.99280812058581,18.4911233049253,1.70697472291148e-05,0.00361966933053247
"PSME_39431",-5.23365447044191,5.49738937199799,18.4077447909088,1.78331682741168e-05,0.00374923310433099
"PSME_09201",-14.4031602172404,3.8049311998231,18.3289826996134,1.85858024410826e-05,0.00385542587176846
"PSME_00195",-12.9011049888462,4.64576089410004,18.3222350131348,1.86517472453226e-05,0.00385542587176846
"PSME_32043",-13.4876612028744,5.47120873917664,18.2644543046565,1.92261465951593e-05,0.00394103961623106
"PSME_47047",-13.4924990728535,4.92939803909635,18.2149946824871,1.97319226371046e-05,0.00401128787626033
"PSME_43026",-6.8743002669108,5.18234381936551,18.1701004027703,2.02025780012774e-05,0.00407330339078214
"PSME_48815",-12.7869076025295,4.91688060111625,18.1068647734648,2.08847128461802e-05,0.00417660298040926
"PSME_40874",-15.1683102773117,4.66508275690699,18.0634624112201,2.13662484223914e-05,0.00423254565378906
"PSME_29640",-12.4495509804971,4.8293579222316,18.0508210821317,2.15085863372482e-05,0.00423254565378906
"PSME_30661",-13.8041469388556,4.06659774915818,17.9727430866106,2.24090837931576e-05,0.0043747511360642
"PSME_19242",-4.47646847732786,5.11260351244511,17.8970351923538,2.33184090492207e-05,0.00451642697474591
"PSME_01638",-6.23383870443447,4.98300304585439,17.871279014366,2.36361441818994e-05,0.00453253805818145
"PSME_40742",-13.4303962477912,4.97683777339986,17.860522810658,2.37701199083424e-05,0.00453253805818145
"PSME_49036",-12.7229822106229,4.52789237545055,17.8122198700646,2.43812355455819e-05,0.00461330486115557
